"Risk／Decision ID","Type","Description","Evidence","Alternatives","Decision","Consequence","Reversal Cost","Owner","Date","Related Tasks","Status"
"RISK-001","Risk","V4 虽用数组保存行军对象，但实际只处理 index 0 且禁止并发。","blackstone_expedition_mvp.gd:202,474,500","V6 前不动；V6 改持久集合；直接泛化 V4","V4 保持单命令 UI；V5 即建立持久集合，V6 启用多 active。","避免 V6 更换容器和二次迁移。","高","Architecture owner","2026-07-29","V4-P5-T001,V5-P3-T001,V6-P1-T001","OPEN"
"RISK-002","Risk","ConstructionController 已承载大量城市状态，新增 CityState 容易复制真相。","CURRENT_STATE + construction_controller.gd","直接新增类；窄适配；渐进迁移","V5 先冻结字段所有权，任何迁移必须单写入者。","复制状态会造成资源、驻军和存档漂移。","高","Architecture owner","2026-07-29","V5-P0-T002","OPEN"
"RISK-003","Risk","V4 原型继续膨胀会混合输入、UI、行军和战区规则。","当前 dirty +1156 行脚本变化","继续堆；冻结并窄适配","V4 freeze 后只通过 V5/V6 adapter 接权威状态。","限制 V4 成为长期世界状态容器。","中高","Product owner","2026-07-29","V4-P5-T001,V5-P3-T002","OPEN"
"RISK-004","Risk","S1A.2 代码存在但独立验收状态未冻结。","8 protected untracked files hash-identical；V5 writer/migrator uses separate V2 implementation","直接复用；放弃；独立复审","P5 read-only verdict: reuse storage mechanics and V1 reader; block direct V5 writer/schema adoption.","避免把早期城市严格 schema 误当作完整 V5 存档，同时保留已验证的故障安全机制。","高","Persistence reviewer","2026-07-29","V5-P5-T001","MITIGATED"
"RISK-005","Risk","重复确认、frame、信号或场景返回可能重复扣兵/抵达/奖励。","P3/P4/vertical-loop idempotency and conflict runners；all-present 35/35","分散 bool；稳定 transaction ledger","V5/V6 用稳定事务 ID 和状态转换；独立复查。","保证兵力与奖励守恒。","高","Runtime owner","2026-07-29","V5-P3-T003,V5-P3-T005,V5-P4-T004","MITIGATED"
"RISK-006","Decision","训练进度由城市战略时间推进，不由场景帧或战斗时间推进。","现有 180s/day、战争阻断和日结算","城市时间；真实秒；战斗 tick","采用城市战略时间；场景切换不重复推进。","训练与城市日结算保持同一时钟。","中","Product + architecture","2026-07-29","V5-P2-T004","ACCEPTED"
"RISK-007","Decision","全局征募上限与本地驻军必须分开表达。","现有 recruitment_cap + infantry_count","一个总数；驻军/预留/在途分解","V5 定义驻军守恒式；容量查询聚合各状态。","玩家能解释驻军、预留、在途和可派兵力。","高","Architecture owner","2026-07-29","V5-P0-T004,V5-P1-T004","ACCEPTED"
"RISK-008","Risk","外城遭遇和战事内城可能复制 BattleSession 或城市状态。","C0 BattleSession + campaign boundary doc","两个 session；BattleSession 配置化","V7/V8 复用单局 BattleSession 契约；持久结果经协调入口写回。","战斗临时状态不污染持久城市。","高","Combat reviewer","2026-07-29","V7-P0-T001,V8-P0-T001","OPEN"
"RISK-009","Risk","二进制 Excel 无法有效 Git diff。","xlsx 格式","只保留 xlsx；文本镜像；脚本源","xlsx 为操作界面；同一修订必须导出 MD + CSV。","文本镜像提供可审查差异。","低","Planning owner","2026-07-29","V4-P5-T001","MITIGATED"
"RISK-010","Risk","规划与代码事实会漂移。","CURRENT_STATE 历史记录多次过期","计划自证；每阶段 G0 刷新","每个阶段开始重新查 Git/代码/测试并更新基线差异。","远期计划不会替代运行事实。","中","Planning owner","2026-07-29","V5-P0-T001","OPEN"
"RISK-011","Risk","没有绑定 reviewer identity、reviewed baseline/hash 与 re-review 的“独立复查”仍可能退化为实现者自证。","RVW-PLAN-001 初审 PLAN-006","只写角色标签；绑定审查任务与证据","G5 必须记录 reviewer task identity、审查基线/patch/hash、findings 处置和复审结论；实现者不得自审通过。","每个验收 verdict 可追溯到具体审查任务和证据。","中","Review owner","2026-07-29","V4-P5-T001,V5-P7-T005,V5-P7-T006","OPEN"
"DEC-001","Decision","四层世界结构：常态内城、外城战区、战事内城、天下地图。","用户冻结方向","统一场景；四层状态边界","按持久性和生命周期分层，不复制持久城市真相。","后续状态对象按层级和生命周期归属。","高","User","2026-07-29","V5-P0-T002,V6-P0-T001,V8-P0-T001","ACCEPTED"
"DEC-002","Decision","滚动式规划：V5 详细、V6 中度、V7–V12 工作包级。","用户任务","全部精确；全部粗略；滚动式","采用滚动式，阶段开始前展开远期任务。","降低远期假精度与维护成本。","低","User","2026-07-29","V5-P0-T001","ACCEPTED"
"DEC-003","Decision","只有 VERIFIED 计入进度；CANCELLED 需决策记录且从分母排除。","用户任务","实现即完成；review 后完成","VERIFIED 才完成；CANCELLED 必须关联决策。","进度不会被未复查实现或取消项虚增。","低","Planning owner","2026-07-29","PLAN-REPAIR-002","ACCEPTED"
"DEC-004","Decision","V4 以整个里程碑为最终验收单位；已独立通过且哈希未变化的单点不再重复创建 Review。","用户 2026-07-30 明确接受 V4_UI_VISUAL_SLICE_INDEPENDENT_REVIEW_002；最终综合 Gate 证据","逐单点继续 Repair/Review；整体综合 Gate；直接跳过最终 Gate","采用一次 V4 综合 Gate；普通问题本轮直接修复复验，最终通过后冻结并开启 V5。","减少机械审计切片，同时保留 C0/存档等高风险边界与最终回归证据。","低","User","2026-07-30","V4-P6-T001,V4-P6-T002,V5-P0-T001","ACCEPTED"
