"Requirement ID","Requirement","Source","Priority","Related Task IDs","Related Test IDs","Automated／Manual","Evidence Required","Current Result","Reviewer Result","Final Status"
"REQ-V4-001","V4 派遣状态机可取消、不可重入且抵达只结算一次","当前 dirty code + 用户方向","P0","V4-P5-T001,V4-P6-T001","T-REG-001,T-V4-001,T-V4-002,T-V4-003","Both","state snapshots + physical mouse path","PASS_FINAL_GATE","ACCEPTED","VERIFIED"
"REQ-V4-002","V4 不修改 S1A.2 八个保护文件","任务边界","P0","V4-P5-T001,V4-P6-T002","T-GIT-001","Automated","SHA-256 before/after","PASS_MAIN_AGENT","ACCEPTED","VERIFIED"
"REQ-V5-001","每个持久兵力字段只有一个权威写入者","长期架构原则","P0","V5-P0-T002,V5-P1-T002","T-V5_P0_T002,T-V5_P1_T002","Automated+Review","ownership table + contract test","PASS_INDEPENDENT_REVIEW","ACCEPTED","VERIFIED"
"REQ-V5-002","当前只显示步兵，但数据合同可扩展","长期架构原则","P0","V5-P0-T003,V5-P1-T001","T-V5_P0_T003","Review","contract + no empty UI","PASS_INDEPENDENT_REVIEW","ACCEPTED","VERIFIED"
"REQ-V5-003","本城驻军、预留、在途、伤亡和幸存守恒","V5 垂直闭环","P0","V5-P0-T004,V5-P1-T004,V5-P3-T003,V5-P4-T002","T-V5_P1_T005,T-V5_P3_T006","Automated","before/after ledgers","PASS_INDEPENDENT_REVIEW","ACCEPTED / RVW-V5-G2-003","VERIFIED"
"REQ-V5-004","训练有真实来源、成本、时间与失败原因","V5 范围","P0","V5-P1-T003,V5-P2-T002,V5-P2-T003,V5-P2-T006","T-V5_P2_T007","Automated+Manual","daily settlement + UI reason","PASS_INDEPENDENT_REVIEW","ACCEPTED / RVW-V5-G2-003","VERIFIED"
"REQ-V5-005","训练完成只进入本城驻军一次","V5 闭环","P0","V5-P2-T005,V5-P2-T007","T-V5_P2_T007","Automated","repeat-day/idempotency assertions","PASS_INDEPENDENT_REVIEW","ACCEPTED / RVW-V5-G2-003","VERIFIED"
"REQ-V5-006","V4 UI 读取真实驻军而非场景局部 fixture","V5 适配","P0","V5-P3-T002,V5-P6-T003","T-V5_P3_T006,T-V5_P7_T004","Both","city→dispatch evidence","PASS_G2_INDEPENDENT_REVIEW","G2_RUNTIME_ACCEPTED / RVW-V5-G2-003；V5-P6-T003 尚未启动","IMPLEMENTED_PENDING_REVIEW"
"REQ-V5-007","V5 即采用持久 ArmyState 集合容器；阶段规则最多一支 active，不得把限制固化为单例模型","长期架构原则","P0","V5-P3-T001,V5-P3-T004","T-V5_P3_T006","Review+Automated","model collection contract","PASS_INDEPENDENT_REVIEW","ACCEPTED / RVW-V5-G2-003","VERIFIED"
"REQ-V5-008","派遣、抵达和结果具备一次性语义","长期架构原则","P0","V5-P3-T003,V5-P3-T005,V5-P4-T004","T-V5_P3_T006,T-V5_P4_T004","Automated","transaction/result IDs","PASS_INDEPENDENT_REVIEW","ACCEPTED / RVW-V5-G2-003","VERIFIED"
