"Task ID","Parent ID","Phase","Work Package","Task Name","Task Type","Goal","Background","In Scope","Out of Scope","Relevant Files／Modules","Inputs","Expected Output","Dependencies","Entry Criteria","Acceptance Criteria","Validation Method","Test IDs","Test Mapping Status","Rollback Method","Stop Conditions","Implementer","Reviewer","Priority","Risk","Status","Planned Effort","Actual Effort","Start Time","Completion Time","Evidence Link","Review Record ID","Decision Record ID","Progress Denominator Flag","Notes","Gate IDs"
"V4-P4-T000","V4","V4","P4 当前实现","V4 路线先行派遣与可见行军实现","Implementation","保留当前 dirty 三文件所实现的路线选择、比例调遣、驻军守恒、连续行军和到达结算。","实现已存在且 tracked 回归通过，但尚未独立复查与用户最终冻结。","仅作为待复查事实索引；不在本规划轮修改实现。","不把实现者总结升级为 VERIFIED。","blackstone_expedition_mvp.tscn; blackstone_expedition_mvp.gd; MVP smoke","当前 dirty diff + /tmp backup patch","供 V4-P5-T001 复查的固定 diff","","G0 基线已锁定","必须由独立复查和用户实体门决定是否通过。","tracked smoke + independent review + physical mouse","T-V4-001,T-V4-002,T-V4-003","MAPPED","冻结前仅对记录的三文件使用哈希校验后的 patch：git apply --reverse --check 后撤销，git apply --check 后恢复；冻结后以 V4 原子提交及其父提交为持久回滚点","发现未知 dirty、状态守恒失败、卡死或受保护文件变化。","Main Codex","Independent Codex + User","P0","HIGH","VERIFIED","L","L","","2026-07-30","docs/reports/TXWZS_V4_MILESTONE_CLOSURE_001.md","","","1","实现、路线视觉 Repair 001、Independent Review 002 与最终候选综合 Gate 均通过；候选三文件哈希未变化。","V4-G0"
"V4-P5-T001","V4","V4","P5 独立复查","独立复查 V4 派遣主链路","Review","确认 dirty V4 是否满足输入、驻军守恒、行军与一次性结算合同。","当前三文件 dirty 且已通过 tracked smoke，但尚未独立冻结。","完整 diff、真实窗口路径、V4 smoke、S1A.2 保护哈希。","不修功能、不扩多军队、不提交 S1A.2。","blackstone_expedition_mvp.tscn; blackstone_expedition_mvp.gd; MVP smoke","当前 patch、27/27 回归、用户实体反馈","独立 review verdict 与修复清单或接受证据","","RVW-PLAN-003=USER_ACCEPTED；V4-G0=VERIFIED","无阻断发现，或修复后复查通过；S1A.2 哈希不变。","独立复查 + 真实窗口复测","T-V4-001,T-V4-002,T-REG-001","MAPPED","冻结前：只对已记录的三文件运行 git apply --reverse --check 后反向应用 patch；丢失时以 git apply --check 后恢复，并校验 patch SHA-256；冻结后：回到 V4 原子提交的父提交（不改写历史）","发现重复扣兵、卡死、状态复制、未知 dirty。","Main Codex","Independent Codex","P0","HIGH","VERIFIED","M","M","2026-07-29","2026-07-29","docs/reviews/TXWZS_V4_P5_T001_INDEPENDENT_REVIEW_002.md","RVW-V4-P5-002","","1","修复后独立复审关闭此前三个 IMPORTANT；126 条专项断言、27/27 tracked runner、1490 条明确断言、正式窗口路径和结束保护通过。只释放 V4-P6-T001 用户实体试玩；不代表 T-V4-003 通过，不冻结 V4，不启动 V5。","V4-G1,V4-G2,V4-G3,V4-G4,V4-G5"
"V4-P6-T001","V4-P5-T001","V4","P6 实体门","完成 V4 用户实体路径复测","Manual Gate","用户用实体鼠标验证取消、部分派兵、支援、失败、援军胜利与重试。","自动测试不能代替手感与可读性。","单一标准入口、当前 commit/dirty 标识、真实截图和结果。","不扩功能、不调整平衡。","RUN_CURRENT_TXWZS.command; blackstone expedition scene","V4-G5 = VERIFIED","用户验收记录","V4-P5-T001","V4-G5 = VERIFIED；V4-P5-T001 已解除 HOLD","V4-G5 已验证后，用户明确接受主链路，不存在阻断级交互。","实体窗口","T-V4-003","MAPPED","保留 review 前 patch","用户反馈阻断或版本身份不明。","Main Codex","User","P0","HIGH","VERIFIED","","M","2026-07-30","2026-07-30","docs/reports/TXWZS_V4_MILESTONE_CLOSURE_001.md","","","1","用户明确接受 Review 002 并授权按 V4 整体里程碑完成最终 Gate；正式入口身份与八态 1152×648 运行证据通过。","V4-G6"
"V4-P6-T002","V4-P6-T001","V4","P6 冻结","形成 V4 可回滚原子基线","Closeout","仅提交已验收的 V4 三文件和必要状态文档。","V5 不能在大 dirty diff 上开工。","diff 审查、原子提交、clean 状态、保护文件排除。","不 push；不提交 S1A.2。","V4 files; CURRENT_STATE if authorized","用户验收","V4 freeze commit","V4-P6-T001","V4-G5 = VERIFIED；V4-P6-T001 用户实体复测通过","提交范围准确、工作区除受保护 S1A.2 外无 V4 dirty。","git show/diff/check/status","T-GIT-001","MAPPED","回退到前一 commit（不改写历史）","无法精确区分文件或出现未知修改。","Main Codex","Independent Codex spot-check","P0","MEDIUM","VERIFIED","","M","2026-07-30","2026-07-30","docs/reports/TXWZS_V4_MILESTONE_CLOSURE_001.md","","","1","V4/C0/规划/报告形成单一可回滚本地 checkpoint；保护的 S1A.2 八文件排除；不 push、不部署。","V4-G6"
"PLAN-REPAIR-002","PLAN","PLAN","规划控制修复","修复 Gate、映射、字体与复查绑定","Planning","让 Gate 只引用真实 Task/Test ID，消除 V4 冻结循环，并统一中文字体。","ChatGPT 对 PLAN-REPAIR-001 的附件复核发现五项控制缺口。","工作簿、Markdown、五份 CSV、ZIP 与 REVIEW_003。","不执行 V4；不开始 V5；不修改游戏代码或 S1A.2。","docs/planning/*; docs/reviews/TXWZS_MASTER_PLAN_REVIEW_003.md","NEEDS_PLAN_REPAIR_002 findings","可独立审计的规划控制包与最终哈希","","PLAN-REPAIR-001 产物与五项 finding 已核对","Gate 无循环/悬空/范围简写；规划需求不挂游戏任务；全部使用区域采用中文字体。","规划审计 + LibreOffice 重算 + 全表渲染 + 独立复查","T-PLAN-001,T-PLAN-GATE-001,T-PLAN-FONT-001","MAPPED","恢复 PLAN-REPAIR-002 开工备份中的 planning/reviews 目录","必须修改游戏代码；无法消除循环；中文字体真实渲染失败。","Main Codex","Independent Codex","P0","HIGH","VERIFIED","M","M","2026-07-29","2026-07-29","docs/reviews/TXWZS_MASTER_PLAN_REVIEW_003.md；docs/reviews/TXWZS_MASTER_PLAN_STATE_SYNC_001.md","RVW-PLAN-003","","1","本任务不属于 V4/V5 产品实施阶段；REVIEW_003 已由用户接受，V4-P5-T001 已释放为唯一 READY。",""
"V5-P0-T001","V5-P0","V5","P0 基线与合同","锁定 V5 起始基线与保护范围","Investigation","重新核对 V4 freeze、S1A.1、S1A.2 状态和全部状态写入者。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","Git/代码/测试事实清单","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","Git/代码/测试事实清单","V4-P6-T002","G0 前置条件满足","Git/代码/测试事实清单；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P0_T001","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P0","HIGH","READY","","","","","","","","1","V4 已 VERIFIED/FROZEN。V5 首先重核 checkpoint、S1A.1、受保护 S1A.2 与全部状态写入者；不得先实现持久 schema。","V5-G0"
"V5-P0-T002","V5-P0","V5","P0 基线与合同","绘制城市—驻军—训练—军队—战果所有权图","Architecture","为每个可写字段确定唯一写入者和生命周期。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","所有权表与禁止写入路径","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","所有权表与禁止写入路径","V5-P0-T001","G1 前置条件满足","所有权表与禁止写入路径；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P0_T002","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex / User gate","P0","CRITICAL","NOT_STARTED","","","","","","","","1","","V5-G1"
"V5-P0-T003","V5-P0","V5","P0 基线与合同","定义单兵种 V5 数据合同","Architecture","定义 UnitDefinition 兼容现有 UnitRole 的升级路径，不先增加第二兵种。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","字段合同、稳定 ID、扩展边界","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","字段合同、稳定 ID、扩展边界","V5-P0-T002","G1 前置条件满足","字段合同、稳定 ID、扩展边界；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P0_T003","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex / User gate","P0","HIGH","NOT_STARTED","","","","","","","","1","","V5-G1"
"V5-P0-T004","V5-P0","V5","P0 基线与合同","定义本城驻军与可派兵力合同","Architecture","区分城市总兵力、驻军、预留、在途和战后幸存。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","守恒式、合法转换、失败路径","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","守恒式、合法转换、失败路径","V5-P0-T002","G1 前置条件满足","守恒式、合法转换、失败路径；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P0_T004","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex / User gate","P0","CRITICAL","NOT_STARTED","","","","","","","","1","","V5-G1"
"V5-P0-T005","V5-P0","V5","P0 基线与合同","定义 V5 回滚包和停止条件","Planning","保证每个工作包可独立回退，不吸收 S1A.2。","V5 只建立单兵种战争底座，复用现有城市与 V4，不创建第二套世界状态。","checkpoint、patch、文件范围","第二兵种、多军队并发、敌方 AI、围城、正式美术与无用途通用框架。","按任务开始时仓库查重后登记；当前不预造文件名","V4 freeze、现有 ConstructionController / BattleSession / S1A.1 证据","checkpoint、patch、文件范围","V5-P0-T001","G1 前置条件满足","checkpoint、patch、文件范围；状态守恒、失败原子、可审计。","自动测试 / diff / 独立复查（按类型）","T-V5_P0_T005","MAPPED","回到上一工作包原子提交；保留 patch 和权威状态快照。","需要第二套 CityState、未授权 schema 迁移、S1A.2 被混入、测试无法收敛。","Main Codex","Independent Codex at package gate","P1","MEDIUM","NOT_STARTED","","","","","","","","1","","V5-G1"
